"articlenumber_value","price","special_price","releasedate"
"B27136","129",,"2015-01-02 00:00:00"
"B40197","79",,"2016-01-02 00:00:00"
"B48968","49",,"2016-01-02 00:00:00"
"B48970","49",,"2016-01-02 00:00:00"
"B48974","109",,"2016-01-02 00:00:00"
"B48990","69",,"2016-01-02 00:00:00"
"D67479","29",,"2016-15-02 00:00:00"
"F37122","179",,"2016-01-02 00:00:00"
"F37123","179",,"2016-01-02 00:00:00"
"F37124","179",,"2016-05-02 00:00:00"
"F37127","249",,"2016-05-01 00:00:00"
"F37147","229",,"2016-28-01 00:00:00"
"F37357","119",,"2016-01-01 00:00:00"
"F37363","119",,"2016-01-01 00:00:00"
"F37699","109",,"2016-01-01 00:00:00"
"F99357","79",,"2016-01-01 00:00:00"
"F99462","69",,"2016-01-02 00:00:00"
"F99466","69",,"2016-01-02 00:00:00"
"F99567","89",,"2016-01-01 00:00:00"
"F99667","89",,"2016-01-01 00:00:00"
"G06799","29",,"2016-15-02 00:00:00"
"M20607","75",,"2015-01-01 00:00:00"
"Q16507","299",,"2016-01-02 00:00:00"
"Q16510","229",,"2016-01-02 00:00:00"
"S11629","19",,"2015-22-07 00:00:00"
